Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-27 12:31:04.946 -0500,"Success",0:00:00,0,0,0,"20250227_123104.946/LogFile.txt","","",1
2025-02-27 12:32:52.566 -0500,"Success",0:00:22,0,0,0,"20250227_123252.566/LogFile.txt","","",1
2025-02-27 12:39:51.298 -0500,"Success",0:00:00,0,0,0,"20250227_123951.298/LogFile.txt","","",1
2025-02-27 12:40:11.313 -0500,"Success",0:00:00,0,0,0,"20250227_124011.313/LogFile.txt","","",1
2025-02-27 12:41:27.672 -0500,"Success",0:00:00,0,0,0,"20250227_124127.672/LogFile.txt","","",1
2025-02-27 12:41:52.834 -0500,"Success",0:00:00,0,0,0,"20250227_124152.834/LogFile.txt","","",1
2025-02-27 12:43:27.938 -0500,"Aborted",0:00:22,1,0,0,"20250227_124327.938/LogFile.txt","","",0
2025-02-27 12:44:54.519 -0500,"Aborted",0:00:23,1,0,0,"20250227_124454.519/LogFile.txt","","",0
2025-02-27 12:45:43.277 -0500,"Success",0:00:10,0,0,0,"20250227_124543.277/LogFile.txt","","",1
2025-02-27 12:46:30.306 -0500,"Success",0:00:00,0,0,0,"20250227_124630.306/LogFile.txt","","",1
2025-02-27 12:46:55.576 -0500,"Success",0:00:00,0,0,0,"20250227_124655.576/LogFile.txt","","",1
2025-06-10 08:58:00.803 -0400,"Success",0:00:00,0,0,0,"20250610_085800.803/LogFile.txt","","",1
